;AT-42/12;AT-48/20;AT-48/22;AT-42/30;A1-42/8;A1-42/12;A1-48/20;A1-48/22;A1-42/30;A1-48/32;A1-42/34;A1-48/40;A1-42/42;A1-48/50;A1-48/52;A1-42/60;A1-42/62;A1-19/63;AT-79/11;A1-09/9;A1-20/7;AT-22/7;AT-09/9;AT-48/10;A1-48/10;AT-53/26;AT-66/26;;
2M12;FUP0446 - GESTÃO DE NEGÓCIOS INTERNACIONAIS;;EducAção;FUP0280 - ECONOMIA APLICADA AO AGRONEGÓCIO 1;;FUP0343 - INOVAÇÃO TECNOLÓGICA;FUP0307 - COMERCIALIZAÇÃO DE PRODUTOS AGROINDUSTRIAIS;MAT0026 - CÁLCULO 2;Ledoc;;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0295 - SISTEMAS AGROINDUTRIAIS;;;;;;;;;;;
2M34;FUP0368 - NOVA ECONOMIA INSTITUCIONAL;;EducAção;FUP0344 - REGULAÇÃO E POLÍTICAS PÚBLICAS;;FUP0128 - ECONOMIA BRASILEIRA CONTEMPORÂNEA;FUP0307 - COMERCIALIZAÇÃO DE PRODUTOS AGROINDUSTRIAIS;MAT0026 - CÁLCULO 2;Ledoc;;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0410 - TECNOLOGIAS DE PRODUTOS AGROINDUSTRIAIS;;;;;;PPGCIMA2018 - SIMULAÇÃO COMPUTACIONAL DE MATERIAIS 1;;;;;
2T23;;FUP0306 - SOCIOLOGIA;EducAção;PPGCA0087 - PROCESSOS QUÍMICOS APLICADOS;;;FUP0531 - ECONOMIA E MEIO AMBIENTE;FUP0321 - NATUREZA E ENERGIA - T1;Ledoc;;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0009 - BIOLOGIA MOLECULAR E BIOTECNOLOGIA;;;;;;FUP0220 - TÓPICOS ESPECIAIS EM ENSINO DE FÍSICA;; FUP0316 - UNIVERSO - T1;FUP0351 - LUZ E SOM - T1;;
2T45;;FUP0306 - SOCIOLOGIA;EducAção;PPGCA0087 - PROCESSOS QUÍMICOS APLICADOS;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T1;;FUP0531 - ECONOMIA E MEIO AMBIENTE;FUP0313 -  QUÍMICA E TECNOLOGIA - T1;Ledoc; FUP0473 - TRABALHO DE CONCLUSÃO DE CURSO 2 - T1;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0009 - BIOLOGIA MOLECULAR E BIOTECNOLOGIA;;;;;;;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T1;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T2;;
2N12;; FUP0355 - CÉLULA - T2;;FUP0523 - ECOSSISTEMAS TERRESTRES AQUATICOS E INTERFACES;FUP0351 - LUZ E SOM - T2; FUP0564 - GESTÃO DA BIODIVERSIDADE;;FUP0321 - NATUREZA E ENERGIA - T2;FUP0358 - SOCIEDADE E NATUREZA;FUP0408 - TRABALHO DE CONCLUSÃO DE CURSO 1 - T2;FUP0265 - BIOLOGIA GERAL APLICADA A GESTÃO AMBIENTAL;FUP0473 - TRABALHO DE CONCLUSÃO DE CURSO 2 - T2;;;;FUP0560 - TRABALHO DE CONCLUSÃO DE CURSO EM GESTÃO AMBIENTAL 2;Ledoc;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T2;FUP0440 - CONFLITOS SOCIOAMBIENTAIS - T1;;;;;FUP0520 - GEOPROCESSAMENTO;; FUP0316 - UNIVERSO - T2;;;
2N34; FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T2;FUP0355 -  CÉLULA - T2;;FUP0523 - ECOSSISTEMAS TERRESTRES AQUATICOS E INTERFACES;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T2; FUP0564 - GESTÃO DA BIODIVERSIDADE;; FUP0313 - QUÍMICA E TECNOLOGIA - T2;FUP0358 - SOCIEDADE E NATUREZA;;FUP0265 - BIOLOGIA GERAL APLICADA A GESTÃO AMBIENTAL;;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T2;;;Ledoc;FUP0247 - FUNDAMENTOS QUÍMICA INORGÂNICA - T2;FUP0440 - CONFLITOS SOCIOAMBIENTAIS - T1;;;;;FUP0520 - GEOPROCESSAMENTO;;FUP0218 - SIMULAÇÃO EM ENSINO DE FÍSICA;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T1;;
3M12;FUP0308 - MARKETING NO AGRONEGÓCIO;FUP0003 - TÓPICOS ESPECIAIS EM BIOLOGIA - T2;EducAção;FUP0445 - ELABORAÇÃO E ANÁLISE DE PROJETOS AGROINDUSTRIAIS; FUP0414 - TRANSPORTE E LOGÍSTICA AGROINDUSTRIAL;FUP0279 - EVOLUÇÃO DA AGRICULTURA FAMILIAR;;;Ledoc;;;;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0282 - ADMINISTRAÇÃO FINANCEIRA;;;;;;PPGCA0090 - TÓPICOS AVANÇADOS EM MODELAGEM AMBIENTAL;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T1;;;
3M34;FUP0281 - ADMINISTRAÇÃO APLICADA AO AGRONEGÓCIO;FUP0003 - TÓPICOS ESPECIAIS EM BIOLOGIA - T2;EducAção;FUP0342 - PLANEJAMENTO ESTRATÉGICO E EMPRESARIAL;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T1;FUP0291 - AGRICULTURA FAMILIAR E POLÍTICAS PÚBLICAS;;FUP0567 - ESTATÍSTICA BÁSICA - T1;Ledoc;;;Ledoc FUP0144 - LÍNGUA BRASILEIRA DE SINAIS 2 LIBRAS;Ledoc;;Ledoc;Ledoc;Ledoc;FUP0293 - ECONOMIA APLICADA AO AGRONEGÓCIO 2;FUP0333 - CUSTOS AGROINDUSTRIAIS - T2;FUP0527 - BOTÂNICA - T1;FUP0527 - BOTÂNICA - T1;;;PPGCA0090 - TÓPICOS AVANÇADOS EM MODELAGEM AMBIENTAL;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T1;;;
3T23;FUP0286 - ENSINO DE CIÊNCIAS - T1;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO;EducAção;FUP0244 - QUÍMICA E ANÁLISE DO AMBIENTE; FUP0336 - PESQUISA OPERACIONAL;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T1;PPGCA0042 - PENSAMENTO CIENTÍFICO E ESTRUTURAÇÃO DE PROJETOS;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T1;Ledoc; FUP0330 - DIDÁTICA DAS CIÊNCIAS - T1; FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T1;Ledoc;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T1;Ledoc;Ledoc;Ledoc;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T1;FUP0345 - SISTEMA DE INFORMAÇÃO E AGRONEGÓCIO - T1;;;;;PPGCA0125 - SENSORIAMENTO REMOTO E ANÁLISE AMBIENTAL;;;FUP0302 - SISTEMAS ECOLÓGICOS - T1;;PPGMADER2660 - FUNDAMENTOS INTERDISCIPLINARES EM CIÊNCIA, TECNOLOGIA E AGRICULTURAS
3T45;FUP0286 - ENSINO DE CIÊNCIAS - T1;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO;EducAção;FUP0244 - QUÍMICA E ANÁLISE DO AMBIENTE;;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T1;;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T1;Ledoc; FUP0330 - DIDÁTICA DAS CIÊNCIAS - T1; FUP0276 - MATEMÁTICA PARA AGRONEGÓCIO;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T1;Ledoc;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T1;Ledoc;Ledoc;Ledoc;FUP0299 - FILOSOFIA E SOCIOLOGIA DA EDUCAÇÃO - T1;;;;;;PPGCA0125 - SENSORIAMENTO REMOTO E ANÁLISE AMBIENTAL;;;FUP0302 - SISTEMAS ECOLÓGICOS - T1;;
